	ID	Name
XD浦发银(600000)	600000	XD浦发银
邯郸钢铁(600001)	600001	邯郸钢铁
齐鲁石化(600002)	600002	齐鲁石化
ST东北高(600003)	600003	ST东北高
白云机场(600004)	600004	白云机场
武钢股份(600005)	600005	武钢股份
东风汽车(600006)	600006	东风汽车
中国国贸(600007)	600007	中国国贸
首创股份(600008)	600008	首创股份
上海机场(600009)	600009	上海机场
包钢股份(600010)	600010	包钢股份
华能国际(600011)	600011	华能国际
皖通高速(600012)	600012	皖通高速
华夏银行(600015)	600015	华夏银行
民生银行(600016)	600016	民生银行
日照港(600017)	600017	日照港
上港集团(600018)	600018	上港集团
宝钢股份(600019)	600019	宝钢股份
中原高速(600020)	600020	中原高速
上海电力(600021)	600021	上海电力
山东钢铁(600022)	600022	山东钢铁
XD浙能电(600023)	600023	XD浙能电
中海发展(600026)	600026	中海发展
华电国际(600027)	600027	华电国际
中国石化(600028)	600028	中国石化
南方航空(600029)	600029	南方航空
中信证券(600030)	600030	中信证券
三一重工(600031)	600031	三一重工
福建高速(600033)	600033	福建高速
楚天高速(600035)	600035	楚天高速
招商银行(600036)	600036	招商银行
歌华有线(600037)	600037	歌华有线
中直股份(600038)	600038	中直股份
四川路桥(600039)	600039	四川路桥
保利地产(600048)	600048	保利地产
中国联通(600050)	600050	中国联通
宁波联合(600051)	600051	宁波联合
浙江广厦(600052)	600052	浙江广厦
中江地产(600053)	600053	中江地产
黄山旅游(600054)	600054	黄山旅游
华润万东(600055)	600055	华润万东
中国医药(600056)	600056	中国医药
象屿股份(600057)	600057	象屿股份
五矿发展(600058)	600058	五矿发展
古越龙山(600059)	600059	古越龙山
海信电器(600060)	600060	海信电器
中纺投资(600061)	600061	中纺投资
华润双鹤(600062)	600062	华润双鹤
皖维高新(600063)	600063	皖维高新
南京高科(600064)	600064	南京高科
*ST联谊(600065)	600065	*ST联谊
宇通客车(600066)	600066	宇通客车
冠城大通(600067)	600067	冠城大通
葛洲坝(600068)	600068	葛洲坝
*ST银鸽(600069)	600069	*ST银鸽
浙江富润(600070)	600070	浙江富润
*ST光学(600071)	600071	*ST光学
钢构工程(600072)	600072	钢构工程
上海梅林(600073)	600073	上海梅林
保千里(600074)	600074	保千里
新疆天业(600075)	600075	新疆天业
青鸟华光(600076)	600076	青鸟华光
宋都股份(600077)	600077	宋都股份
澄星股份(600078)	600078	澄星股份
人福医药(600079)	600079	人福医药
金花股份(600080)	600080	金花股份
东风科技(600081)	600081	东风科技
海泰发展(600082)	600082	海泰发展
博信股份(600083)	600083	博信股份
中葡股份(600084)	600084	中葡股份
同仁堂(600085)	600085	同仁堂
东方金钰(600086)	600086	东方金钰
退市长油(600087)	600087	退市长油
中视传媒(600088)	600088	中视传媒
特变电工(600089)	600089	特变电工
啤酒花(600090)	600090	啤酒花
*ST明科(600091)	600091	*ST明科
S*ST精密(600092)	600092	S*ST精密
禾嘉股份(600093)	600093	禾嘉股份
大名城(600094)	600094	大名城
哈高科(600095)	600095	哈高科
云天化(600096)	600096	云天化
开创国际(600097)	600097	开创国际
广州发展(600098)	600098	广州发展
林海股份(600099)	600099	林海股份
同方股份(600100)	600100	同方股份
明星电力(600101)	600101	明星电力
莱钢股份(600102)	600102	莱钢股份
青山纸业(600103)	600103	青山纸业
上汽集团(600104)	600104	上汽集团
永鼎股份(600105)	600105	永鼎股份
重庆路桥(600106)	600106	重庆路桥
美尔雅(600107)	600107	美尔雅
亚盛集团(600108)	600108	亚盛集团
国金证券(600109)	600109	国金证券
中科英华(600110)	600110	中科英华
北方稀土(600111)	600111	北方稀土
天成控股(600112)	600112	天成控股
浙江东日(600113)	600113	浙江东日
东睦股份(600114)	600114	东睦股份
东方航空(600115)	600115	东方航空
三峡水利(600116)	600116	三峡水利
西宁特钢(600117)	600117	西宁特钢
中国卫星(600118)	600118	中国卫星
长江投资(600119)	600119	长江投资
浙江东方(600120)	600120	浙江东方
郑州煤电(600121)	600121	郑州煤电
宏图高科(600122)	600122	宏图高科
兰花科创(600123)	600123	兰花科创
铁龙物流(600125)	600125	铁龙物流
杭钢股份(600126)	600126	杭钢股份
金健米业(600127)	600127	金健米业
弘业股份(600128)	600128	弘业股份
太极集团(600129)	600129	太极集团
波导股份(600130)	600130	波导股份
岷江水电(600131)	600131	岷江水电
重庆啤酒(600132)	600132	重庆啤酒
东湖高新(600133)	600133	东湖高新
乐凯胶片(600135)	600135	乐凯胶片
道博股份(600136)	600136	道博股份
浪莎股份(600137)	600137	浪莎股份
中青旅(600138)	600138	中青旅
西部资源(600139)	600139	西部资源
兴发集团(600141)	600141	兴发集团
金发科技(600143)	600143	金发科技
*ST国创(600145)	600145	*ST国创
大元股份(600146)	600146	大元股份
长春一东(600148)	600148	长春一东
廊坊发展(600149)	600149	廊坊发展
中国船舶(600150)	600150	中国船舶
航天机电(600151)	600151	航天机电
维科精华(600152)	600152	维科精华
建发股份(600153)	600153	建发股份
宝硕股份(600155)	600155	宝硕股份
华升股份(600156)	600156	华升股份
永泰能源(600157)	600157	永泰能源
中体产业(600158)	600158	中体产业
大龙地产(600159)	600159	大龙地产
巨化股份(600160)	600160	巨化股份
天坛生物(600161)	600161	天坛生物
香江控股(600162)	600162	香江控股
*ST南纸(600163)	600163	*ST南纸
新日恒力(600165)	600165	新日恒力
福田汽车(600166)	600166	福田汽车
联美控股(600167)	600167	联美控股
武汉控股(600168)	600168	武汉控股
太原重工(600169)	600169	太原重工
上海建工(600170)	600170	上海建工
上海贝岭(600171)	600171	上海贝岭
黄河旋风(600172)	600172	黄河旋风
卧龙地产(600173)	600173	卧龙地产
美都能源(600175)	600175	美都能源
中国巨石(600176)	600176	中国巨石
雅戈尔(600177)	600177	雅戈尔
东安动力(600178)	600178	东安动力
黑化股份(600179)	600179	黑化股份
瑞茂通(600180)	600180	瑞茂通
S*ST云大(600181)	600181	S*ST云大
S佳通(600182)	600182	S佳通
生益科技(600183)	600183	生益科技
光电股份(600184)	600184	光电股份
格力地产(600185)	600185	格力地产
莲花味精(600186)	600186	莲花味精
国中水务(600187)	600187	国中水务
兖州煤业(600188)	600188	兖州煤业
吉林森工(600189)	600189	吉林森工
锦州港(600190)	600190	锦州港
华资实业(600191)	600191	华资实业
长城电工(600192)	600192	长城电工
创兴资源(600193)	600193	创兴资源
中牧股份(600195)	600195	中牧股份
复星医药(600196)	600196	复星医药
伊力特(600197)	600197	伊力特
大唐电信(600198)	600198	大唐电信
金种子酒(600199)	600199	金种子酒
江苏吴中(600200)	600200	江苏吴中
金宇集团(600201)	600201	金宇集团
哈空调(600202)	600202	哈空调
福日电子(600203)	600203	福日电子
S山东铝(600205)	600205	S山东铝
有研新材(600206)	600206	有研新材
安彩高科(600207)	600207	安彩高科
新湖中宝(600208)	600208	新湖中宝
罗顿发展(600209)	600209	罗顿发展
紫江企业(600210)	600210	紫江企业
西藏药业(600211)	600211	西藏药业
江泉实业(600212)	600212	江泉实业
亚星客车(600213)	600213	亚星客车
长春经开(600215)	600215	长春经开
浙江医药(600216)	600216	浙江医药
*ST秦岭(600217)	600217	*ST秦岭
全柴动力(600218)	600218	全柴动力
南山铝业(600219)	600219	南山铝业
江苏阳光(600220)	600220	江苏阳光
海南航空(600221)	600221	海南航空
太龙药业(600222)	600222	太龙药业
鲁商置业(600223)	600223	鲁商置业
天津松江(600225)	600225	天津松江
升华拜克(600226)	600226	升华拜克
赤天化(600227)	600227	赤天化
昌九生化(600228)	600228	昌九生化
青岛碱业(600229)	600229	青岛碱业
沧州大化(600230)	600230	沧州大化
凌钢股份(600231)	600231	凌钢股份
金鹰股份(600232)	600232	金鹰股份
大杨创世(600233)	600233	大杨创世
山水文化(600234)	600234	山水文化
民丰特纸(600235)	600235	民丰特纸
桂冠电力(600236)	600236	桂冠电力
铜峰电子(600237)	600237	铜峰电子
海南椰岛(600238)	600238	海南椰岛
云南城投(600239)	600239	云南城投
华业地产(600240)	600240	华业地产
时代万恒(600241)	600241	时代万恒
*ST中昌(600242)	600242	*ST中昌
青海华鼎(600243)	600243	青海华鼎
万通地产(600246)	600246	万通地产
*ST成城(600247)	600247	*ST成城
延长化建(600248)	600248	延长化建
两面针(600249)	600249	两面针
南纺股份(600250)	600250	南纺股份
冠农股份(600251)	600251	冠农股份
中恒集团(600252)	600252	中恒集团
天方药业(600253)	600253	天方药业
鑫科材料(600255)	600255	鑫科材料
广汇能源(600256)	600256	广汇能源
大湖股份(600257)	600257	大湖股份
首旅酒店(600258)	600258	首旅酒店
广晟有色(600259)	600259	广晟有色
凯乐科技(600260)	600260	凯乐科技
阳光照明(600261)	600261	阳光照明
北方股份(600262)	600262	北方股份
